MSE:180.5,,,,,,,,,13.43502884,,,,,,,,,,,,,
"predict(linearModel, dat[test, ])",Category,TypeProduct_Desc,STYLE,Retail_SubClass_Desc,Style_Estimated_Cost,Gender_Desc,Country_Cd,eaFabricCost,eaCMCost,eaTrimCost,eaArtCost,eaWashCost,eaOtherCost,eaFOB,LandingCosts,All.empty,Selling.Season,Yesr,Month,Made.Year,Minimum.Wage..USD.,
31.15179199,_APPAREL,WOVEN,Bottoms,Woven Pant,129.2235,Boy,BD,48.3,27.72,22.26,0,2.52,1.68,102.48,26.7435,No,Winter,2016,1,2016,67.31,11.77719627
31.15179199,_APPAREL,WOVEN,Bottoms,Woven Pant,129.2235,Boy,BD,48.93,27.72,22.26,0,2.52,1.68,102.48,26.7435,No,Winter,2016,1,2016,67.31,11.77719627
31.15179199,_APPAREL,WOVEN,Bottoms,Woven Pant,108.8178,Boy,BD,34.44,27.72,20.16,0,2.52,1.68,86.52,22.2978,No,Winter,2016,1,2016,67.31,11.77719627
31.15179199,_APPAREL,WOVEN,Bottoms,Woven Pant,108.8178,Boy,BD,34.86,27.72,20.16,0,2.52,1.68,86.52,22.2978,No,Winter,2016,1,2016,67.31,11.77719627
29.70542566,_APPAREL,WOVEN,Bottoms,Denim Pant,160.3602,Girl,BD,43.89,30.87,18.06,19.11,13.65,1.89,127.47,32.8902,No,Winter,2016,1,2016,67.31,1.356233386
31.15179199,_APPAREL,WOVEN,Bottoms,Denim Pant,126.2646,Boy,BD,41.79,33.6,12.6,0,10.5,2.1,100.59,25.6746,No,Winter,2016,1,2016,67.31,5.993722457
31.15179199,_APPAREL,WOVEN,Bottoms,Denim Pant,155.127,Boy,BD,54.18,34.02,17.43,0,15.33,2.31,123.27,31.857,No,Winter,2016,1,2016,67.31,8.226617185
31.15179199,_APPAREL,WOVEN,Bottoms,Denim Pant,130.6914,Boy,BD,38.22,34.02,14.28,0,15.33,2.31,104.16,26.5314,No,Winter,2016,1,2016,67.31,8.226617185
31.15179199,_APPAREL,WOVEN,Bottoms,Woven Bottom,214.872,Boy,BD,54.39,60.9,28.35,11.76,10.5,6.3,172.2,42.672,No,Winter,2016,1,2016,67.31,884.9558798
31.54319514,_APPAREL,WOVEN,Bottoms,Active Pants,127.1298,Boy,BD,59.43,21,16.59,0,2.1,1.68,127.1298,16.7538,No,Summer,2017,10,2016,67.84,111.1589638
31.54319514,_APPAREL,WOVEN,Bottoms,Active Pants,129.7464,Boy,BD,63.63,21,14.49,0,2.1,1.68,129.7464,16.6677,No,Summer,2017,10,2016,67.84,111.1589638
31.54319514,_APPAREL,WOVEN,Bottoms,Active Pants,108.5574,Boy,BD,45.36,22.68,14.49,0,2.1,1.68,108.5574,17.3733,No,Summer,2017,10,2016,67.84,78.55622808
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,99.918,Boy,BD,38.43,24.15,13.44,0,2.1,0.84,99.918,17.2914,No,Summer,2017,10,2016,67.84,54.65933437
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,89.5482,Boy,BD,31.08,24.15,12.81,0,2.1,0.84,89.5482,17.6757,No,Summer,2017,10,2016,67.84,54.65933437
31.54319514,_APPAREL,WOVEN,Bottoms,Active Pants,107.2554,Boy,BD,42.21,24.78,14.49,0,2.1,1.68,107.2554,17.4174,No,Summer,2017,10,2016,67.84,45.7408085
30.09682881,_APPAREL,WOVEN,Bottoms,Shorts/Diaper Cover,87.9081,Girl,BD,15.96,24.99,9.03,10.5,7.35,1.89,87.9081,17.7366,No,Summer,2017,10,2016,67.84,26.07970052
31.54319514,_APPAREL,WOVEN,Bottoms,Pant,78.7017,Boy,BD,21.84,25.2,11.55,0,1.68,2.52,78.7017,16.3548,No,Summer,2017,10,2016,67.84,40.23612458
30.09682881,_APPAREL,WOVEN,Bottoms,Pant,97.8012,Girl,BD,25.2,25.83,13.23,2.1,9.87,2.1,97.8012,15.2292,No,Summer,2017,10,2016,67.84,18.20582811
30.09682881,_APPAREL,WOVEN,Bottoms,Short,95.7306,Girl,BD,23.1,26.04,14.28,6.3,4.2,1.68,95.7306,17.4468,No,Summer,2017,10,2016,67.84,16.45786001
30.09682881,_APPAREL,WOVEN,Bottoms,Shorts/Diaper Cover,120.9516,Girl,BD,22.47,26.46,10.29,27.3,7.35,2.52,120.9516,16.5102,No,Summer,2017,10,2016,67.84,13.22652381
30.09682881,_APPAREL,WOVEN,Bottoms,Denim Pant,102.7383,Girl,BD,34.65,26.67,11.13,0,7.35,1.89,102.7383,17.8815,No,Summer,2017,10,2016,67.84,11.74315571
30.09682881,_APPAREL,WOVEN,Bottoms,Denim Pant,105.3402,Girl,BD,34.65,26.67,11.13,0,9.45,1.89,105.3402,17.8017,No,Summer,2017,10,2016,67.84,11.74315571
30.09682881,_APPAREL,WOVEN,Bottoms,Denim Pant,127.3923,Girl,BD,51.87,27.3,12.6,0,8.4,0.84,127.3923,17.3544,No,Summer,2017,10,2016,67.84,7.822251406
30.09682881,_APPAREL,WOVEN,Bottoms,Short,143.3523,Girl,BD,50.19,27.72,17.85,0,14.91,3.15,143.3523,16.212,No,Summer,2017,10,2016,67.84,5.649315204
30.09682881,_APPAREL,WOVEN,Bottoms,Short,114.3093,Girl,BD,38.85,27.72,16.17,0,3.15,4.62,114.3093,17.1822,No,Summer,2017,10,2016,67.84,5.649315204
31.54319514,_APPAREL,WOVEN,Bottoms,Pant,73.7982,Boy,BD,16.8,27.93,10.08,0,2.52,1.47,73.7982,16.6446,No,Summer,2017,10,2016,67.84,13.05517912
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,97.8243,Boy,BD,31.29,28.35,13.65,0,2.52,1.47,97.8243,17.3691,No,Summer,2017,10,2016,67.84,10.1964952
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,98.8701,Boy,BD,32.13,28.35,13.65,0,2.52,1.47,98.8701,17.3313,No,Summer,2017,10,2016,67.84,10.1964952
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,86.9442,Boy,BD,22.89,28.35,13.65,0,2.52,1.47,86.9442,17.7723,No,Summer,2017,10,2016,67.84,10.1964952
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,87.2046,Boy,BD,23.1,28.35,13.65,0,2.52,1.47,87.2046,17.7639,No,Summer,2017,10,2016,67.84,10.1964952
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,86.9442,Boy,BD,22.89,28.35,13.65,0,2.52,1.47,86.9442,18.0957,No,Summer,2017,10,2016,67.84,10.1964952
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,97.8243,Boy,BD,31.29,28.35,13.65,0,2.52,1.47,97.8243,17.7324,No,Summer,2017,10,2016,67.84,10.1964952
31.54319514,_APPAREL,WOVEN,Bottoms,Pant,73.7982,Boy,BD,22.68,28.35,9.45,0,2.1,2.1,73.7982,16.6446,No,Summer,2017,10,2016,67.84,10.1964952
31.54319514,_APPAREL,WOVEN,Bottoms,Pant,73.7982,Boy,BD,16.8,28.35,9.66,0,2.52,1.47,73.7982,16.6446,No,Summer,2017,10,2016,67.84,10.1964952
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,102.7488,Boy,BD,36.12,29.19,22.26,0,2.1,1.68,102.7488,17.1864,No,Summer,2017,10,2016,67.84,5.537527365
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,91.812,Boy,BD,27.72,29.19,20.79,0,2.1,1.68,91.812,17.5917,No,Summer,2017,10,2016,67.84,5.537527365
31.54319514,_APPAREL,WOVEN,Bottoms,Denim Pant,127.0458,Boy,BD,34.23,29.4,18.06,2.1,14.7,2.73,127.0458,16.758,No,Summer,2017,10,2016,67.84,4.593285407
31.54319514,_APPAREL,WOVEN,Bottoms,Denim Pant,128.6082,Boy,BD,34.44,29.4,18.48,2.1,15.75,2.31,128.6082,16.7055,No,Summer,2017,10,2016,67.84,4.593285407
30.09682881,_APPAREL,WOVEN,Bottoms,Denim Pant,120.6912,Girl,BD,31.29,29.61,12.18,12.6,8.4,2.1,120.6912,16.9701,No,Summer,2017,10,2016,67.84,0.237002293
31.54319514,_APPAREL,WOVEN,Bottoms,Denim Pant,146.2314,Boy,BD,52.92,29.82,14.7,0,16.8,1.89,146.2314,17.0415,No,Summer,2017,10,2016,67.84,2.969401489
31.54319514,_APPAREL,WOVEN,Bottoms,Denim Pant,144.9231,Boy,BD,47.46,29.82,18.48,2.1,15.33,1.89,144.9231,16.1595,No,Summer,2017,10,2016,67.84,2.969401489
31.54319514,_APPAREL,WOVEN,Bottoms,Denim Pant,146.2314,Boy,BD,52.29,29.82,14.7,2.1,15.96,1.26,146.2314,16.5606,No,Summer,2017,10,2016,67.84,2.969401489
31.54319514,_APPAREL,WOVEN,Bottoms,Denim Pant,144.9231,Boy,BD,47.46,29.82,18.48,2.1,15.12,2.1,144.9231,16.1595,No,Summer,2017,10,2016,67.84,2.969401489
31.54319514,_APPAREL,WOVEN,Bottoms,Denim Pant,151.4646,Boy,BD,51.66,29.82,18.48,2.1,15.75,2.52,151.4646,16.6656,No,Summer,2017,10,2016,67.84,2.969401489
31.54319514,_APPAREL,WOVEN,Bottoms,Denim Pant,153.5583,Boy,BD,52.92,30.03,18.48,2.1,15.75,2.73,153.5583,16.6047,No,Summer,2017,10,2016,67.84,2.289759531
31.54319514,_APPAREL,WOVEN,Bottoms,Denim Pant,131.733,Boy,BD,38.85,30.03,17.64,2.1,14.7,1.68,131.733,17.2305,No,Summer,2017,10,2016,67.84,2.289759531
31.54319514,_APPAREL,WOVEN,Bottoms,Denim Pant,142.6698,Boy,BD,53.55,30.24,13.65,0,15.12,1.26,142.6698,17.4279,No,Summer,2017,10,2016,67.84,1.698317572
31.54319514,_APPAREL,WOVEN,Bottoms,Denim Pant,126.0042,Boy,BD,37.59,30.24,13.65,0,16.8,2.1,126.0042,17.1738,No,Summer,2017,10,2016,67.84,1.698317572
31.54319514,_APPAREL,WOVEN,Bottoms,Denim Pant,154.3878,Boy,BD,55.65,30.24,18.06,2.1,15.12,2.1,154.3878,15.8445,No,Summer,2017,10,2016,67.84,1.698317572
31.54319514,_APPAREL,WOVEN,Bottoms,Denim Pant,173.7057,Boy,BD,77.07,30.45,14.7,0,14.7,1.26,173.7057,16.6509,No,Summer,2017,10,2016,67.84,1.195075613
31.54319514,_APPAREL,WOVEN,Bottoms,Denim Pant,126.0042,Boy,BD,37.8,30.45,14.07,0,16.8,1.26,126.0042,17.5896,No,Summer,2017,10,2016,67.84,1.195075613
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,131.2122,Boy,BD,28.35,30.87,13.65,26.88,2.1,2.73,131.2122,17.0163,No,Summer,2017,10,2016,67.84,0.453191696
30.09682881,_APPAREL,WOVEN,Bottoms,Short,112.7385,Girl,BD,31.08,30.87,14.91,0,9.87,2.52,112.7385,16.8147,No,Summer,2017,10,2016,67.84,0.597793685
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,134.9796,Boy,BD,34.23,31.29,10.92,27.3,2.1,1.26,134.9796,16.9029,No,Summer,2017,10,2016,67.84,0.064107779
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,143.6148,Boy,BD,50.61,31.29,14.91,0,15.75,1.47,143.6148,16.2036,No,Summer,2017,10,2016,67.84,0.064107779
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,129.9102,Boy,BD,40.95,31.29,14.7,0,15.12,1.47,129.9102,16.6614,No,Summer,2017,10,2016,67.84,0.064107779
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Pant,128.6082,Boy,BD,45.57,31.5,17.64,0,3.15,4.62,128.6082,17.0961,No,Summer,2017,10,2016,67.84,0.00186582
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Pant,116.3694,Boy,BD,38.43,31.5,15.54,0,3.15,3.99,116.3694,17.4678,No,Summer,2017,10,2016,67.84,0.00186582
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Pant,151.2021,Boy,BD,61.53,31.5,19.32,0,3.15,4.62,151.2021,16.4094,No,Summer,2017,10,2016,67.84,0.00186582
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Pant,137.5962,Boy,BD,53.76,31.5,16.8,0,3.15,3.99,137.5962,16.8231,No,Summer,2017,10,2016,67.84,0.00186582
30.09682881,_APPAREL,WOVEN,Bottoms,Denim Pant,160.8831,Girl,BD,45.78,31.5,16.8,17.85,13.65,2.31,160.8831,16.3947,No,Summer,2017,10,2016,67.84,1.968889382
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,137.4618,Boy,BD,36.75,31.5,10.71,27.3,2.1,1.26,137.4618,16.8273,No,Summer,2017,10,2016,67.84,0.00186582
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,131.2122,Boy,BD,31.08,31.5,10.92,27.3,2.52,1.26,131.2122,17.0163,No,Summer,2017,10,2016,67.84,0.00186582
31.54319514,_APPAREL,WOVEN,Bottoms,Denim Pant,134.337,Boy,BD,36.75,31.5,18.06,2.1,15.75,2.94,134.337,17.1549,No,Summer,2017,10,2016,67.84,0.00186582
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,145.446,Boy,BD,42.21,31.71,10.92,27.3,2.1,1.26,145.446,16.5858,No,Summer,2017,10,2016,67.84,0.027823861
30.09682881,_APPAREL,WOVEN,Bottoms,Skirts,117.831,Girl,BD,28.77,31.92,15.12,13.65,7.35,2.94,117.831,17.0646,No,Summer,2017,10,2016,67.84,3.323953179
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,123.4674,Boy,BD,41.16,32.13,19.95,0,3.15,1.47,123.4674,16.8756,No,Summer,2017,10,2016,67.84,0.344339944
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,106.995,Boy,BD,28.98,32.13,19.32,0,3.15,1.47,106.995,17.4258,No,Summer,2017,10,2016,67.84,0.344339944
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,133.9338,Boy,BD,33.81,32.76,16.8,18.9,2.1,1.89,133.9338,16.527,No,Summer,2017,10,2016,67.84,1.480614068
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Short,115.3278,Boy,BD,27.72,32.76,16.38,11.34,2.1,1.47,115.3278,17.1486,No,Summer,2017,10,2016,67.84,1.480614068
31.54319514,_APPAREL,WOVEN,Bottoms,Denim Pant,182.0784,Boy,BD,74.97,32.76,18.48,2.1,15.12,1.47,182.0784,15.4728,No,Summer,2017,10,2016,67.84,1.480614068
31.54319514,_APPAREL,WOVEN,Bottoms,Pant,119.7714,Boy,BD,25.41,38.64,10.29,22.68,2.1,1.68,119.7714,16.9995,No,Summer,2017,10,2016,67.84,50.36463923
31.54319514,_APPAREL,WOVEN,Bottoms,Woven Bottom,194.3172,Boy,BD,46.62,51.87,40.32,0,12.6,4.2,155.61,38.7072,No,Summer,2017,10,2016,67.84,413.1789958
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Short,116.4009,Boy,BD,42.84,2.1,28.56,17.01,1.68,0,92.19,24.2109,No,Spring,2017,7,2016,67.84,778.7370303
30.00586014,_APPAREL,WOVEN,Bottoms,Pant,70.4424,Boy,BD,19.74,21,11.13,0,2.1,2.1,56.07,14.3724,No,Spring,2017,7,2016,67.84,81.1055169
30.00586014,_APPAREL,WOVEN,Bottoms,Active Pants,127.1298,Boy,BD,59.43,21,16.59,0,2.1,1.68,100.8,26.3298,No,Spring,2017,7,2016,67.84,81.1055169
30.00586014,_APPAREL,WOVEN,Bottoms,Active Pants,134.9796,Boy,BD,65.73,21,16.59,0,2.1,1.68,107.1,27.8796,No,Spring,2017,7,2016,67.84,81.1055169
30.00586014,_APPAREL,WOVEN,Bottoms,Active Pants,141.2586,Boy,BD,59.43,21,16.59,0,2.1,13.02,112.14,29.1186,No,Spring,2017,7,2016,67.84,81.1055169
30.00586014,_APPAREL,WOVEN,Bottoms,Active Pants,139.167,Boy,BD,59.43,21,16.59,0,2.1,11.34,110.46,28.707,No,Spring,2017,7,2016,67.84,81.1055169
28.55949381,_APPAREL,WOVEN,Bottoms,Shorts/Diaper Cover,61.3725,Girl,BD,15.12,21,10.29,0,1.26,0.63,48.3,13.0725,No,Spring,2017,7,2016,67.84,57.14594674
28.55949381,_APPAREL,WOVEN,Bottoms,Denim Pant,125.559,Girl,BD,48.51,23.1,12.6,0,13.65,1.68,99.54,26.019,No,Spring,2017,7,2016,67.84,29.80607271
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Short,105.693,Boy,BD,21.63,24.15,31.29,3.15,2.1,1.68,84,21.693,No,Spring,2017,7,2016,67.84,34.291098
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Short,105.1512,Boy,BD,42.63,24.15,13.44,0,2.1,0.84,83.16,21.9912,No,Spring,2017,7,2016,67.84,34.291098
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Short,94.2354,Boy,BD,34.86,24.15,12.81,0,2.1,0.84,74.76,19.4754,No,Spring,2017,7,2016,67.84,34.291098
28.55949381,_APPAREL,WOVEN,Bottoms,Shorts/Diaper Cover,82.2633,Girl,BD,21,25.2,9.03,0,7.35,2.52,65.1,17.1633,No,Spring,2017,7,2016,67.84,11.28619869
30.00586014,_APPAREL,WOVEN,Bottoms,Pant,82.8324,Boy,BD,25.2,25.2,11.55,0,1.68,2.52,66.15,16.6824,No,Spring,2017,7,2016,67.84,23.0962917
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Short,128.4381,Boy,BD,32.34,25.62,37.59,3.15,2.1,1.05,101.85,26.5881,No,Spring,2017,7,2016,67.84,19.23576919
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Pant,103.9332,Boy,BD,41.37,25.62,16.59,0,2.52,2.1,88.2,15.7332,No,Spring,2017,7,2016,67.84,19.23576919
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Pant,87.6246,Boy,BD,31.08,25.62,16.59,0,2.52,1.89,77.7,9.9246,No,Spring,2017,7,2016,67.84,19.23576919
28.55949381,_APPAREL,WOVEN,Bottoms,Short,123.9903,Girl,BD,40.74,26.25,18.9,0,11.55,0.84,98.28,25.7103,No,Spring,2017,7,2016,67.84,5.33376168
28.55949381,_APPAREL,WOVEN,Bottoms,Denim Pant,150.1563,Girl,BD,67.83,26.67,12.6,2.1,8.4,1.68,119.28,30.8763,No,Spring,2017,7,2016,67.84,3.570186876
28.55949381,_APPAREL,WOVEN,Bottoms,Denim Pant,125.559,Girl,BD,50.4,26.67,12.6,0,8.4,1.47,99.54,26.019,No,Spring,2017,7,2016,67.84,3.570186876
28.55949381,_APPAREL,WOVEN,Bottoms,Denim Pant,102.7383,Girl,BD,33.81,26.67,11.13,0,7.35,2.73,81.69,21.0483,No,Spring,2017,7,2016,67.84,3.570186876
28.55949381,_APPAREL,WOVEN,Bottoms,Denim Pant,105.3402,Girl,BD,33.81,26.67,11.13,0,9.45,2.73,83.79,21.5502,No,Spring,2017,7,2016,67.84,3.570186876
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Pant,103.6098,Boy,BD,34.65,27.3,15.12,0,3.15,2.1,82.32,21.2898,No,Spring,2017,7,2016,67.84,7.321679108
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Short,95.5374,Boy,BD,27.51,27.3,17.22,0,2.1,1.68,75.81,19.7274,No,Spring,2017,7,2016,67.84,7.321679108
28.55949381,_APPAREL,WOVEN,Bottoms,Shorts/Diaper Cover,120.6912,Girl,BD,32.97,27.3,13.02,8.4,11.55,2.94,96.18,24.5112,No,Spring,2017,7,2016,67.84,1.586324669
28.55949381,_APPAREL,WOVEN,Bottoms,Short,104.2293,Girl,BD,27.3,28.14,10.29,0,8.4,1.05,75.18,29.0493,No,Spring,2017,7,2016,67.84,0.175975061
28.55949381,_APPAREL,WOVEN,Bottoms,Shorts/Diaper Cover,98.4165,Girl,BD,25.62,28.14,14.7,0,8.4,1.26,78.12,20.2965,No,Spring,2017,7,2016,67.84,0.175975061
28.55949381,_APPAREL,WOVEN,Bottoms,Woven Pant,150.7002,Girl,BD,54.39,28.35,16.38,0,8.4,1.68,109.2,41.5002,No,Spring,2017,7,2016,67.84,0.043887658
28.55949381,_APPAREL,WOVEN,Bottoms,Short,151.725,Girl,BD,28.98,28.56,18.48,30.24,12.6,1.68,120.54,31.185,No,Spring,2017,7,2016,67.84,2.56223E-07
30.00586014,_APPAREL,WOVEN,Bottoms,Active Pants,112.7238,Boy,BD,42.42,28.56,14.91,0,2.1,1.68,89.67,23.0538,No,Spring,2017,7,2016,67.84,2.09051155
30.00586014,_APPAREL,WOVEN,Bottoms,Active Pants,117.9318,Boy,BD,46.62,28.56,14.91,0,2.1,1.68,93.87,24.0618,No,Spring,2017,7,2016,67.84,2.09051155
30.00586014,_APPAREL,WOVEN,Bottoms,Active Pants,126.7854,Boy,BD,42.42,28.56,14.91,0,2.1,13.02,101.01,25.7754,No,Spring,2017,7,2016,67.84,2.09051155
30.00586014,_APPAREL,WOVEN,Bottoms,Active Pants,130.431,Boy,BD,47.25,28.56,14.91,0,2.1,11.13,103.95,26.481,No,Spring,2017,7,2016,67.84,2.09051155
30.00586014,_APPAREL,WOVEN,Bottoms,Active Pants,124.7022,Boy,BD,42.42,28.56,14.91,0,2.1,11.34,99.33,25.3722,No,Spring,2017,7,2016,67.84,2.09051155
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Short,115.3278,Boy,BD,25.41,28.77,17.22,15.54,3.15,1.68,91.77,23.5578,No,Spring,2017,7,2016,67.84,1.527350291
28.55949381,_APPAREL,WOVEN,Bottoms,Woven Pant,113.253,Girl,BD,34.86,29.4,15.33,0,8.4,2.1,90.09,23.163,No,Spring,2017,7,2016,67.84,0.706450647
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Short,133.9338,Boy,BD,31.71,30.66,17.85,21,3.15,1.89,106.26,27.6738,No,Spring,2017,7,2016,67.84,0.427898954
30.00586014,_APPAREL,WOVEN,Bottoms,Pant,102.7047,Boy,BD,27.93,31.29,9.66,0,11.55,1.89,82.32,20.3847,No,Spring,2017,7,2016,67.84,1.649015175
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Short,137.8587,Boy,BD,36.75,31.5,10.5,26.25,2.1,2.31,109.41,28.4487,No,Spring,2017,7,2016,67.84,2.232453915
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Short,130.9518,Boy,BD,32.76,31.5,11.55,24.57,2.1,1.89,104.37,26.5818,No,Spring,2017,7,2016,67.84,2.232453915
28.55949381,_APPAREL,WOVEN,Bottoms,Short,132.363,Girl,BD,42.63,32.13,16.38,0,7.35,6.51,105,27.363,No,Spring,2017,7,2016,67.84,12.74851442
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Short,124.2507,Boy,BD,41.79,32.13,19.95,0,3.15,1.47,98.49,25.7607,No,Spring,2017,7,2016,67.84,4.511970136
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Short,107.7762,Boy,BD,29.61,32.13,19.32,0,3.15,1.47,85.68,22.0962,No,Spring,2017,7,2016,67.84,4.511970136
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Short,160.0998,Boy,BD,42.21,33.6,19.95,26.88,2.1,2.52,127.26,32.8398,No,Spring,2017,7,2016,67.84,12.91784132
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Short,146.3154,Boy,BD,37.17,33.6,19.74,24.57,2.1,1.68,116.76,29.5554,No,Spring,2017,7,2016,67.84,12.91784132
30.00586014,_APPAREL,WOVEN,Bottoms,Overall/Shortall,148.1004,Boy,BD,42,37.38,14.28,26.46,2.1,2.73,124.95,23.1504,No,Spring,2017,7,2016,67.84,54.37793865
30.00586014,_APPAREL,WOVEN,Bottoms,Overall/Shortall,139.2321,Boy,BD,26.67,39.06,13.65,31.5,3.15,3.36,117.39,21.8421,No,Spring,2017,7,2016,67.84,81.97744857
30.00586014,_APPAREL,WOVEN,Bottoms,Woven Short,124.9626,Boy,BD,33.81,39.9,12.6,0,11.13,2.1,99.54,25.4226,No,Spring,2017,7,2016,67.84,97.89400353
