Category,TypeProduct_Desc,STYLE,Retail_SubClass_Desc,Style_Estimated_Cost,Gender_Desc,Country_Cd,eaFabricCost,eaCMCost,eaTrimCost,eaArtCost,eaWashCost,eaOtherCost,eaFOB,LandingCosts,All.empty,Selling Season,Yesr,Month,Made Year,Minimum Wage (USD)
_APPAREL,KNIT,Bottoms,Leggings/Bike,51.7986,Girl,VN,34.02,1.05,4.83,0,1.05,0,40.95,10.8486,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,52.9536,Girl,VN,29.4,4.2,4.2,0,0,0,37.8,15.1536,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,32.3148,Girl,KH,12.6,4.2,6.3,0,2.1,0,25.2,7.1148,No,Winter,2015,1,2015,
_APPAREL,KNIT,Bottoms,Leggings/Bike,52.878,Girl,IN,28.35,4.2,4.2,0,2.1,3.15,42,10.878,No,Winter,2016,1,2016,140.305308
_APPAREL,KNIT,Bottoms,Leggings/Bike,63.4116,Girl,VN,39.48,5.04,4.83,0,1.05,0,50.4,13.0116,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,41.475,Girl,VN,14.07,5.25,4.83,8.4,0,0,32.55,8.925,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,51.7986,Girl,VN,30.45,5.25,5.25,0,0,0,40.95,10.8486,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,38.8941,Girl,VN,11.76,6.09,11.55,0,1.05,0,30.45,8.4441,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,50.5071,Girl,VN,26.88,6.09,4.83,0,2.1,0,39.9,10.6071,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,51.7986,Girl,VN,20.37,6.3,11.34,0,2.1,0.84,40.95,10.8486,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,63.4116,Girl,VN,37.17,6.3,4.83,0,2.1,0,50.4,13.0116,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,67.2546,Girl,VN,37.8,6.3,4.2,0,0,0,48.3,18.9546,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,51.7986,Girl,VN,28.77,6.3,4.83,0,1.05,0,40.95,10.8486,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,46.6368,Girl,VN,22.47,6.3,4.83,0,2.1,1.05,36.75,9.8868,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,53.088,Girl,VN,22.47,6.3,4.83,6.3,2.1,0,42,11.088,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,49.2177,Girl,VN,27.3,6.3,4.2,0,1.05,0,38.85,10.3677,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,65.9925,Girl,VN,35.07,6.3,4.83,6.3,0,0,52.5,13.4925,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,50.5071,Girl,VN,26.67,6.3,4.83,0,2.1,0,39.9,10.6071,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,40.1835,Girl,VN,18.27,6.3,4.83,0,2.1,0,31.5,8.6835,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,50.5071,Girl,VN,19.32,6.3,4.83,7.35,2.1,0,39.9,10.6071,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,35.0217,Girl,VN,10.08,6.3,2.52,8.4,0,0,27.3,7.7217,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Bottoms,Leggings/Bike,47.9262,Girl,VN,18.9,6.3,4.2,8.4,0,0,37.8,10.1262,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Bottoms,Leggings/Bike,50.5071,Girl,VN,23.1,7.35,7.35,0,2.1,0,39.9,10.6071,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,42.7644,Girl,VN,18.48,7.35,6.3,0,1.47,0,33.6,9.1644,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,42.7644,Girl,VN,19.32,7.35,4.83,0,2.1,0,33.6,9.1644,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,51.7986,Girl,VN,24.15,7.35,7.35,0,2.1,0,40.95,10.8486,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,52.9536,Girl,VN,25.2,8.4,4.2,0,0,0,37.8,15.1536,No,Winter,2015,1,2015,100.85865
_APPAREL,KNIT,Bottoms,Leggings/Bike,44.0559,Girl,VN,19.95,8.4,4.2,0,2.1,0,34.65,9.4059,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Bottoms,Leggings/Bike,51.7986,Girl,VN,18.9,8.4,5.25,8.4,0,0,40.95,10.8486,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Bottoms,Leggings/Bike,35.0217,Girl,VN,12.6,8.4,6.3,0,0,0,27.3,7.7217,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Bottoms,Leggings/Bike,50.5071,Girl,VN,18.9,8.4,4.2,8.4,0,0,39.9,10.6071,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Bottoms,Leggings/Bike,42.7644,Girl,VN,18.9,8.4,6.3,0,0,0,33.6,9.1644,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Bottoms,Leggings/Bike,51.7986,Girl,VN,28.35,8.4,4.2,0,0,0,40.95,10.8486,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Bottoms,Leggings/Bike,80.703,Girl,VN,48.72,8.4,5.25,0,2.1,0,64.47,16.233,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Bottoms,Leggings/Bike,64.1865,Girl,VN,27.3,8.4,4.2,0,0,0,51.03,13.1565,No,Winter,2016,1,2016,107.9616
_APPAREL,KNIT,Bottoms,Leggings/Bike,50.5071,Girl,VN,27.3,8.4,4.2,0,0,0,39.9,10.6071,No,Winter,2016,1,2016,107.9616
_APPAREL,WOVEN,Dresses,Woven,99.183,Girl,BD,42.63,2.1,23.31,9.45,1.26,0,78.75,20.433,No,Winter,2015,1,2015,68.37
ACCESSORIES,HAIR,Hair,Clips,28.3668,Girl,CN,10.5,2.52,2.1,0,0,8.4,23.52,4.8468,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Hair,Clips,27.3672,Girl,CN,10.5,2.52,2.1,0,0,7.56,22.68,4.6872,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Hair,Clips,17.5098,Girl,CN,2.52,4.2,3.15,0,0,5.25,15.12,2.3898,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Hair,Clips,30.366,Girl,CN,10.5,5.25,3.15,0,0,6.3,25.2,5.166,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Hair,Headbands,31.2732,Girl,CN,8.4,5.25,4.2,0,0,7.35,25.2,6.0732,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Hair,Headbands,25.8678,Girl,CN,4.2,5.67,4.2,0,0,7.35,21.42,4.4478,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Hair,Headbands,31.2732,Girl,CN,10.5,6.3,3.15,0,0,5.25,25.2,6.0732,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Hair,Headbands,28.6986,Girl,CN,5.25,6.3,4.2,0,0,7.35,23.1,5.5986,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Hair,Headbands,31.6155,Girl,CN,9.45,6.3,3.15,0,0,7.35,26.25,5.3655,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Hair,Headbands,27.3672,Girl,CN,4.2,6.93,4.2,0,0,7.35,22.68,4.6872,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Hair,Clips,37.863,Girl,CN,14.7,7.35,3.15,0,0,6.3,31.5,6.363,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Hair,Clips,32.4996,Girl,CN,9.45,7.35,5.25,0,0,6.3,28.35,4.1496,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Hair,Clips,24.8682,Girl,CN,3.15,7.35,4.2,0,0,5.88,20.58,4.2882,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Hair,Headbands,30.366,Girl,CN,5.25,8.4,4.2,0,0,7.35,25.2,5.166,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Hair,Headbands,27.867,Girl,CN,4.2,8.4,4.2,0,0,6.3,23.1,4.767,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Non-Apparel,Hair,32.865,Girl,CN,12.6,4.2,2.1,0,0,8.4,27.3,5.565,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Non-Apparel,Hair,19.4124,Girl,CN,4.83,4.2,2.52,0,0,5.25,16.8,2.6124,No,Winter,2016,1,2016,309.31922
ACCESSORIES,JEWELRY,Non-Apparel,Jewelry,25.368,Girl,CN,6.3,5.25,3.15,0,0,6.3,21,4.368,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Non-Apparel,Hair,27.4029,Girl,CN,11.55,5.25,2.1,0,0,5.25,24.15,3.2529,No,Winter,2016,1,2016,309.31922
ACCESSORIES,JEWELRY,Non-Apparel,Jewelry,41.6115,Girl,CN,10.5,6.3,10.5,2.1,0,5.25,34.65,6.9615,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Non-Apparel,Hair,29.6436,Girl,CN,3.15,6.3,4.83,4.2,0,7.35,25.83,3.8136,No,Winter,2016,1,2016,309.31922
ACCESSORIES,JEWELRY,Non-Apparel,Jewelry,42.3612,Girl,CN,10.5,6.93,10.5,2.1,0,5.25,35.28,7.0812,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Non-Apparel,Hair,33.8646,Girl,CN,9.45,7.14,2.1,2.1,0,7.35,28.14,5.7246,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Non-Apparel,Hair,30.366,Girl,CN,2.1,7.35,8.4,0,0,7.35,25.2,5.166,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Non-Apparel,Hair,29.1165,Girl,CN,5.25,7.35,5.25,0,0,6.3,24.15,4.9665,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Non-Apparel,Hair,30.8658,Girl,CN,2.52,7.35,6.3,2.1,0,7.35,25.62,5.2458,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Non-Apparel,Hair,24.3684,Girl,CN,3.36,7.35,2.1,0,0,7.35,20.16,4.2084,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Non-Apparel,Hair,25.368,Girl,CN,3.15,7.35,3.15,0,0,7.35,21,4.368,No,Winter,2016,1,2016,309.31922
ACCESSORIES,JEWELRY,Non-Apparel,Jewelry,50.358,Girl,CN,15.75,7.35,10.5,0,0,8.4,42,8.358,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Non-Apparel,Hair,31.1157,Girl,CN,7.98,8.4,2.1,0,0,7.35,25.83,5.2857,No,Winter,2016,1,2016,309.31922
ACCESSORIES,HAIR,Non-Apparel,Hair,33.6882,Girl,CN,5.25,9.45,5.25,0,0,9.45,29.4,4.2882,No,Winter,2016,1,2016,309.31922
ACCESSORIES,JEWELRY,Non-Apparel,Jewelry,45.738,Girl,CN,15.75,12.6,6.3,0,0,7.35,42,3.738,No,Winter,2016,1,2016,309.31922
ACCESSORIES,SUNGLASSES,Non-Apparel,Sunglass,33.873,Girl,TW,9.87,13.23,2.1,0,0,5.25,30.45,3.423,No,Winter,2016,1,2016,
ACCESSORIES,SUNGLASSES,Non-Apparel,Sunglass,55.818,Girl,TW,21.42,17.43,2.1,0,0,9.45,50.4,5.418,No,Winter,2016,1,2016,
ACCESSORIES,COLD WEATHER,Non-Apparel,Misc/Seasonal,92.6625,Girl,CN,28.35,21,13.44,5.25,4.2,6.3,78.54,14.1225,No,Winter,2015,1,2015,289.59276
ACCESSORIES,TIES,Non-Apparel,Misc,69.2874,Boy,CN,12.6,21,10.5,0,0,12.6,56.7,12.5874,No,Winter,2016,1,2016,309.31922
ACCESSORIES,TIES,Non-Apparel,Misc,68.0148,Boy,CN,10.5,21,10.5,0,0,13.65,55.65,12.3648,No,Winter,2016,1,2016,309.31922
ACCESSORIES,ACCESSORY,Non-Apparel,Blanket,317.2428,Uni,CN,185.85,21,5.25,4.2,0,55.02,271.32,45.9228,No,Winter,2016,1,2016,309.31922
ACCESSORIES,TIGHT,Non-Apparel,Tight,44.1945,Girl,TW,10.92,22.68,0,0,0,2.52,36.12,8.0745,No,Winter,2016,1,2016,
ACCESSORIES,TIGHT,Non-Apparel,Tight,53.0103,Girl,TW,17.64,22.89,0,0,0,2.52,43.05,9.9603,No,Winter,2016,1,2016,
ACCESSORIES,TIGHT,Non-Apparel,Tight,46.7418,Girl,TW,11.76,24.36,0,0,0,2.1,38.22,8.5218,No,Winter,2016,1,2016,
ACCESSORIES,TIGHT,Non-Apparel,Tight,47.8758,Girl,TW,11.76,24.78,0,0,0,2.31,38.85,9.0258,No,Winter,2016,1,2016,
ACCESSORIES,TIGHT,Non-Apparel,Tight,53.0103,Girl,TW,15.96,24.78,0,0,0,2.31,43.05,9.9603,No,Winter,2016,1,2016,
ACCESSORIES,COLD WEATHER,Non-Apparel,Misc/Seasonal,82.4271,Boy,CN,9.45,35.7,5.04,9.45,5.25,5.25,70.14,12.2871,No,Winter,2015,1,2015,289.59276
ACCESSORIES,COLD WEATHER,Non-Apparel,Misc/Seasonal,97.8453,Boy,CN,16.8,37.8,5.25,10.5,6.3,6.3,82.95,14.8953,No,Winter,2015,1,2015,289.59276
ACCESSORIES,COLD WEATHER,Non-Apparel,Misc,95.4639,Uni,CN,4.2,37.8,5.25,8.4,5.25,14.7,81.9,13.5639,No,Winter,2015,1,2015,289.59276
ACCESSORIES,TIES,Non-Apparel,Misc,89.5545,Boy,CN,14.7,39.9,10.5,0,0,13.65,78.75,10.8045,No,Winter,2016,1,2016,309.31922
ACCESSORIES,COLD WEATHER,Non-Apparel,Misc/Seasonal,84.3906,Girl,CN,10.5,45.78,2.1,2.52,2.1,8.4,71.4,12.9906,No,Winter,2016,1,2016,309.31922
ACCESSORIES,COLD WEATHER,Non-Apparel,Misc/Seasonal,89.0946,Girl,CN,10.5,45.78,2.1,2.52,2.1,8.4,71.4,17.6946,No,Winter,2016,1,2016,309.31922
ACCESSORIES,COLD WEATHER,Non-Apparel,Misc/Seasonal,112.8834,Boy,CN,12.6,48.3,10.5,6.3,6.3,6.3,90.3,22.5834,No,Winter,2016,1,2016,309.31922
ACCESSORIES,COLD WEATHER,Non-Apparel,Misc,110.5797,Uni,CN,6.3,48.72,11.55,9.45,8.4,10.5,94.92,15.6597,No,Winter,2016,1,2016,309.31922
ACCESSORIES,BAGS,Non-Apparel,Misc,222.4635,Girl,CN,21.42,81.9,23.1,28.35,0,38.85,193.62,28.8435,No,Winter,2016,1,2016,309.31922
ACCESSORIES,BAGS,Non-Apparel,Misc,233.2638,Girl,CN,34.65,81.9,29.4,0,0,38.85,184.8,48.4638,No,Winter,2016,1,2016,309.31922
ACCESSORIES,ACCESSORY,Non-Apparel,Blanket,355.698,Uni,CN,76.65,156.45,8.4,0,0,31.5,304.5,51.198,No,Winter,2015,1,2015,289.59276
ACCESSORIES,ACCESSORY,Non-Apparel,Blanket,355.593,Uni,CN,43.89,180.81,4.2,0,75.6,0,304.5,51.093,No,Winter,2016,1,2016,309.31922
